ID	adj.P.Val	P.Value	logFC
GPR39	0.016357152	9.88E-04	1.4770508
TMEM163	0.00798647	3.28E-04	5.458965
ACMSD	0.001614947	2.57E-05	7.3797374
ARHGAP15	0.006753679	2.49E-04	-2.4423723
CYTIP	0.008578811	3.62E-04	-4.652088
PLA2R1	0.027856413	0.002233709	-0.88150644
SLC4A10	0.002256303	4.35E-05	-2.6981056
COBLL1	0.0208372	0.00143897	1.3001366
DHRS9	0.049979128	0.005604937	-2.4104333
KIAA1715	0.019768154	0.001308803	0.44845384
TTC30A	0.035087574	0.003190685	0.8712463
OSBPL6	0.02758505	0.002185885	-1.7988491
CCDC141	0.023135977	0.001688873	-2.2114613
ITGA4	0.003390307	8.18E-05	-1.9952726
CERKL	0.007545711	2.91E-04	-1.2959632
DNAJC10	0.006256223	2.18E-04	1.4489325
FSIP2	0.019367946	0.001268696	1.8574624
GULP1	0.03129158	0.002682085	-0.87107515
STAT4	0.004677025	1.33E-04	-3.5843897
SDPR	0.018907815	0.001226749	-1.9720321
ANKRD44	0.036521394	0.003392681	-1.6638861
CFLAR	0.020471826	0.001389882	-1.5510597
CDK15	0.030226564	0.00252134	-2.6435976
CTLA4	0.003184518	7.48E-05	-4.296977
ICOS	0.01608087	9.60E-04	-3.2220116
CPS1	0.017604614	0.001100728	1.6181935
SPAG16	0.017052272	0.00105066	1.3089179
IGFBP2	0.021444295	0.001496631	1.4215393
CXCR2P1	0.004145104	1.11E-04	-4.6473217
CXCR2	0.001430505	2.17E-05	-4.9336853
PNKD	0.027674658	0.002203982	0.69114965
WNT6	0.008341155	3.49E-04	-3.1939592
WNT10A	0.011300471	5.51E-04	-5.231499
CRYBA2	0.023926182	0.001773718	1.8869967
CCDC108	0.03800132	0.003623899	1.9040655
IHH	0.048011154	0.005237977	1.3697147
ABCB6	0.04311787	0.004425107	0.9730119
GLB1L	0.001114563	1.50E-05	-1.9313788
DOCK10	0.001251451	1.77E-05	-2.7587104
SLC19A3	0.012066403	6.14E-04	1.6505709
SPHKAP	0.028530091	0.00232393	-1.7195028
SP110	9.54E-04	1.20E-05	-0.9187794
SP140	1.90E-04	6.46E-07	-5.966056
GPR55	0.002990072	6.78E-05	-6.6910653
C2orf72	0.014329907	7.87E-04	1.895916
NMUR1	0.03012915	0.00250891	-1.7134814
KCNJ13	0.023187988	0.001693985	-4.2043757
INPP5D	2.16E-04	8.08E-07	-3.4015622
UGT1A10	0.049195632	0.00543143	-7.1876044
ARL4C	0.00142993	2.15E-05	-2.7662678
LRRFIP1	0.009504557	4.26E-04	-0.83080673
TWIST2	0.012362064	6.37E-04	-3.5340943
SNED1	0.047228355	0.005093047	-1.3910855
NEU4	0.01825058	0.00116445	-7.841132
PDCD1	9.66E-04	1.24E-05	-4.803767
ZCCHC3	0.037942365	0.003613969	0.5177851
FAM110A	0.042696614	0.004369756	-1.3318977
SIRPG	4.08E-05	6.25E-08	-6.161608
SIGLEC1	0.034686387	0.003116897	-5.72332
PRNP	0.006736048	2.48E-04	-1.5501394
LOC149837	0.001699698	2.83E-05	-3.595732
GPCPD1	0.001488748	2.30E-05	-1.7092632
PAK7	0.013029831	6.90E-04	4.5990167
FLRT3	0.00208157	3.93E-05	3.0962906
RIN2	0.03662358	0.003409358	-0.6973581
THBD	0.002015695	3.79E-05	-3.6070943
NAPB	0.034192238	0.003048156	-1.2791581
CST7	1.19E-08	6.73E-13	-7.449689
FRG1B	1.15E-05	1.17E-08	-7.3896813
HCK	0.03582277	0.003292075	-3.9425445
PLAGL2	0.019598909	0.001292725	1.8656664
POFUT1	0.00286846	6.30E-05	1.5294094
ZNF341	0.01615869	9.71E-04	-0.87466437
SPAG4	0.017260466	0.00107186	-3.1012845
TGIF2	0.03001593	0.002485851	1.3961143
SLA2	7.36E-04	7.61E-06	-6.7251773
SAMHD1	0.002476327	5.10E-05	-2.0151033
GHRH	0.036705624	0.003423444	-2.6596184
VSTM2L	0.027383106	0.002159002	2.8879318
PPP1R16B	0.007702091	3.06E-04	-4.386384
MAFB	0.003214533	7.65E-05	-2.0086803
STK4	0.04595186	0.004880282	-0.74841785
PI3	0.017318862	0.00107796	5.110893
SDC4	0.018827846	0.001215167	1.305522
TNNC2	0.048016578	0.005249757	-3.2079015
PLTP	0.010973931	5.27E-04	-1.0650463
MMP9	0.039162427	0.003786155	-4.5553055
CD40	0.019719725	0.001303503	-2.522934
PREX1	0.004996887	1.49E-04	-2.558473
CEBPB	0.003444444	8.40E-05	-1.1064272
CSTF1	0.026219036	0.002030015	0.32027858
CASS4	0.003645193	9.17E-05	-3.6673272
CTSZ	0.028286586	0.002289645	-1.6692514
ZNF831	9.66E-04	1.25E-05	-5.0772457
HRH3	0.015595353	9.23E-04	-1.571157
SLCO4A1	0.039608147	0.003898537	-1.4741573
ARFRP1	0.02111831	0.001463669	-0.6386338
TEKT4P2	0.03582277	0.003296175	-2.151639
SAMSN1	0.024170067	0.001802774	-5.6609383
TMPRSS15	0.023115309	0.001683584	-9.181855
TIAM1	0.007960935	3.26E-04	-2.4031658
C21orf119	0.001534046	2.41E-05	-4.2221575
C21orf63	0.03660248	0.003405317	-3.888976
TCP10L	0.049645852	0.00551865	-2.071157
OLIG1	0.034040846	0.003025939	-2.734995
CLIC6	0.009891354	4.52E-04	3.64425
PSMG1	0.028130498	0.00226791	0.61123806
MX2	0.008151006	3.37E-04	-2.3260965
UBASH3A	1.76E-04	5.80E-07	-5.773991
LINC00313	0.04958492	0.005508185	-1.6157035
ICOSLG	0.047757465	0.005188613	-1.4403691
TRPM2	0.015402222	8.96E-04	-4.9096446
LRRC3	0.018827846	0.001212138	1.4931221
ITGB2	0.009375489	4.16E-04	-4.5789237
LOC100505746	0.002710257	5.78E-05	-4.923424
S100B	0.001687258	2.79E-05	-6.374873
TPTEP1	0.009625416	4.32E-04	-2.3387542
TBX1	2.42E-04	1.09E-06	-5.123935
TXNRD2	0.005995428	2.02E-04	-3.6393814
RIMBP3	0.04554086	0.004813367	-1.2860134
SLC7A4	0.003908491	1.02E-04	2.0249457
PI4KAP2	0.007702091	3.06E-04	1.5332875
MIR650	0.042326845	0.004312692	-6.2740555
IGLL5	0.00583787	1.95E-04	-12.489794
RTDR1	0.015106459	8.63E-04	2.3651514
VPREB3	0.019945089	0.001329144	-3.6480193
SMARCB1	0.01999213	0.001334549	0.4995127
DERL3	0.037872527	0.003605167	-3.3924112
GGT5	0.013767595	7.42E-04	-2.098999
ADORA2A	0.027237143	0.002145589	-1.293066
UPB1	0.04993671	0.005591235	-4.451065
SEZ6L	0.017092	0.001057172	-2.9679906
ASPHD2	0.043185268	0.004436927	-0.88393307
MIAT	0.019810088	0.001315277	-2.652882
EMID1	0.032162756	0.002796558	1.4923105
GAS2L1	0.018466972	0.001184519	-1.707058
OSM	0.03224804	0.002807997	-3.3266258
OSBP2	0.010535675	4.96E-04	1.8205767
ISX	0.018827846	0.001214745	1.8759317
APOL3	5.57E-05	1.04E-07	-3.8693871
APOL1	0.007343434	2.81E-04	-0.99487114
CSF2RB	0.003696466	9.51E-05	-5.7935114
IL2RB	1.63E-04	5.11E-07	-6.111545
RAC2	0.001604606	2.54E-05	-4.7127295
MFNG	2.76E-04	1.35E-06	-3.189021
SOX10	0.005528752	1.77E-04	-5.8573422
APOBEC3A	0.017403299	0.001084681	-1.9089766
APOBEC3B	0.013168539	7.00E-04	1.0622686
APOBEC3G	0.020471826	0.001390973	-1.2833714
APOBEC3H	0.002015695	3.77E-05	-2.0887542
CBX7	0.00356193	8.86E-05	-1.7969332
GRAP2	1.90E-04	6.56E-07	-6.082613
ST13	0.022180848	0.001577601	0.44232938
TEF	0.01379568	7.45E-04	-0.9549875
CSDC2	0.039018814	0.003758581	2.9663587
MEI1	0.04420802	0.004597213	-3.030106
TNFRSF13C	0.03624234	0.003350071	-3.0203931
NAGA	0.011491888	5.65E-04	-0.35632232
CYP2D6	0.038235947	0.003648443	-3.6235647
NFAM1	2.98E-04	1.57E-06	-4.421214
SCUBE1	0.006108023	2.09E-04	-3.2916555
SULT4A1	7.72E-04	8.32E-06	-7.341306
PARVG	0.006645272	2.40E-04	-5.7844534
KIAA0930	0.01781806	0.001119634	-1.0734949
C22orf26	0.01959732	0.001291508	-1.5144572
GTSE1	0.026846869	0.002096912	1.2233413
PIM3	0.034686387	0.003118892	-1.4468726
TYMP	6.28E-04	5.81E-06	-2.824377
ODF3B	6.29E-04	5.90E-06	-2.2458677
KLHDC7B	0.002476327	5.10E-05	-3.9525862
CHL1	0.006394061	2.25E-04	-6.3281116
IL5RA	0.001687258	2.79E-05	-3.6421804
LRRN1	0.017754365	0.001114363	2.9359226
EDEM1	0.020471826	0.001389652	-0.97705173
OXTR	0.04419776	0.004593637	3.089057
RAD18	0.016832147	0.00103093	-1.4490023
ATP2B2	0.049645852	0.005521491	-2.642078
SYN2	0.011795759	5.87E-04	-4.181824
FGD5	0.006434303	2.28E-04	-1.6088572
SH3BP5	0.003183197	7.46E-05	-1.3009644
GALNTL2	0.00553203	1.77E-04	-3.6059458
THRB	0.013168539	7.00E-04	1.6853762
LOC644990	0.015555829	9.18E-04	3.4275622
NGLY1	0.018833946	0.00121768	-0.88138956
EOMES	0.005175273	1.59E-04	-3.8610015
TGFBR2	0.010699717	5.05E-04	-1.0602188
GPD1L	0.024631424	0.00184717	-1.3227034
TRIM71	6.28E-04	5.81E-06	3.4712667
PLCD1	0.014626174	8.12E-04	0.7109032
CSRNP1	0.025818394	0.001985805	-0.9458113
CCK	0.015238047	8.78E-04	-2.1596947
CCDC13	0.01894016	0.00123295	-2.2781885
ZNF662	1.90E-04	6.69E-07	-6.552643
KRBOX1	0.005533846	1.80E-04	-3.9002273
SNRK	0.010742675	5.09E-04	-1.1113825
CLEC3B	0.03407725	0.003033043	-2.6081724
CCR9	0.011459291	5.61E-04	-6.09111
CXCR6	0.001990999	3.69E-05	-7.513341
XCR1	3.46E-04	2.13E-06	-4.6885886
CCR1	0.03624234	0.003347707	-4.6875963
CCR3	0.004145104	1.11E-04	-4.467045
CCR2	5.69E-05	1.14E-07	-6.885769
CCR5	1.13E-04	2.95E-07	-7.120901
SHISA5	0.019626688	0.001295671	0.59041023
SLC26A6	7.72E-04	8.30E-06	1.1446093
IMPDH2	0.003058522	7.03E-05	0.6297788
CCDC36	0.016386276	9.91E-04	-3.0734043
USP4	0.019566668	0.001286156	-0.39388844
HYAL1	0.029864535	0.002465115	-2.1556377
CACNA2D2	0.017072363	0.001053857	-0.8729305
CISH	0.006132996	2.12E-04	-1.612299
PARP3	0.046954006	0.005042151	-1.3911982
TLR9	0.014532556	8.06E-04	-2.3111157
SEMA3G	0.02916466	0.002390519	-4.0482793
NT5DC2	0.025220139	0.001916885	1.8673897
ITIH3	0.023115309	0.00168474	1.2256279
ARHGEF3	0.022798806	0.001644848	-1.3299284
DNASE1L3	0.002498538	5.22E-05	-7.460734
FAM107A	0.00149358	2.32E-05	-5.369199
LMOD3	0.023413999	0.001717142	-1.8363928
LOC201617	0.024071313	0.001789943	2.0441976
CNTN3	0.045157466	0.004745851	2.3117745
GBE1	0.020573186	0.001401364	-0.585197
DHFRL1	0.046263788	0.00492654	-0.7815914
RETNLB	0.012198746	6.25E-04	-5.90777
TRAT1	6.95E-04	6.87E-06	-4.955219
CD96	3.32E-04	1.98E-06	-8.342803
GCET2	0.002821686	6.15E-05	-1.6752748
BTLA	6.52E-04	6.18E-06	-4.676673
CD200R1	5.69E-05	1.19E-07	-4.823557
SIDT1	0.03210598	0.002786515	-2.1453652
TIGIT	5.18E-05	8.58E-08	-6.378503
CD80	5.47E-04	4.60E-06	-3.241613
HCLS1	0.012034643	6.12E-04	-4.9638534
CD86	0.01959732	0.001290361	-5.2328854
CSTA	0.005381165	1.69E-04	-4.0812006
PARP15	0.00356193	8.85E-05	-4.5198116
DIRC2	0.035102714	0.003194054	0.43129584
KLF15	0.020227691	0.001358311	-1.9382105
CHST13	0.001061258	1.39E-05	2.9542332
GATA2	0.001291026	1.86E-05	-4.237898
CPNE4	0.006651922	2.42E-04	-4.33836
SLCO2A1	0.025220139	0.001915789	-3.1352463
SLC25A36	0.008603109	3.64E-04	0.38089183
C3orf58	0.031505838	0.002712968	2.0866933
CPA3	1.04E-05	7.11E-09	-9.208931
HPS3	0.02535278	0.001929845	-0.6533661
CP	0.034686387	0.003124712	-5.822423
PFN2	0.046809196	0.005000562	1.530941
GPR171	0.002367829	4.69E-05	-6.1506515
P2RY14	0.032827266	0.002877068	-1.8333849
P2RY13	0.009498576	4.24E-04	-5.6037617
P2RY12	0.005568685	1.82E-04	-3.756287
MBNL1	0.025011385	0.001886821	-0.60709184
C3orf33	0.02217289	0.001570742	1.4147801
VEPH1	0.024631424	0.00184837	2.4155862
RARRES1	0.006903928	2.57E-04	3.7735004
MFSD1	0.031607985	0.002730447	-0.2923431
WDR49	0.030119788	0.002506421	-4.87779
ARPM1	0.047182016	0.005079484	1.162324
LRRIQ4	0.025231667	0.001919194	2.2383575
RPL22L1	0.04071385	0.00405359	1.5852203
ECT2	0.04253361	0.004345831	0.9893389
LAMP3	0.01192517	5.99E-04	-2.9280899
MCF2L2	0.007877961	3.19E-04	-2.318944
KLHL6	7.12E-04	7.19E-06	-4.637787
ABCC5	0.041417785	0.004163643	-1.1068554
C3orf65	0.004804658	1.38E-04	-1.9293967
KNG1	0.007088359	2.69E-04	5.0286474
ST6GAL1	0.008796867	3.77E-04	1.4935073
CLDN1	0.005089373	1.54E-04	5.3020926
CLDN16	0.001714871	2.88E-05	2.3789883
TMEM207	0.013177702	7.02E-04	3.0049987
IL1RAP	0.001901242	3.49E-05	1.4523453
ATP13A4	0.001885975	3.42E-05	5.2661266
MUC4	0.049645852	0.005523407	-2.470776
SDHAP1	0.023811394	0.001762505	-0.6321544
CEP19	0.036521394	0.003393627	-0.6059365
NCBP2	0.009100501	3.97E-04	0.39745998
PIGZ	7.74E-04	8.39E-06	3.0280895
ZNF732	0.006651922	2.43E-04	1.7085323
ABCA11P	0.02031845	0.001368197	0.94613737
FAM53A	0.017584387	0.001097964	-1.4473746
FGFR3	0.010879514	5.19E-04	1.7745723
NAT8L	0.025787774	0.001981986	-3.230007
ZFYVE28	0.02516883	0.001907271	-2.6969547
MSX1	0.00769737	3.03E-04	2.8138995
CYTL1	0.009065927	3.92E-04	4.0332212
JAKMIP1	0.002794467	6.07E-05	-3.8600237
PPP2R2C	0.046954006	0.005042685	-3.822117
DEFB131	0.010416978	4.89E-04	-4.5202937
CLNK	0.006533774	2.34E-04	-2.296273
HS3ST1	0.03578343	0.00328443	-1.2842159
CD38	0.002506914	5.29E-05	-5.4839463
FGFBP2	0.04227947	0.004305465	-4.09196
TAPT1	0.023969304	0.001778276	-0.6042118
LCORL	0.013993508	7.62E-04	0.7572374
GPR125	0.04319497	0.004442584	1.1377877
PPARGC1A	0.016512567	0.001003858	-2.079317
STIM2	0.04251355	0.004341368	-0.5412779
TLR10	0.008341155	3.48E-04	-4.146491
TLR6	1.92E-04	6.96E-07	-3.6097512
TMEM156	4.29E-04	3.22E-06	-5.140065
RHOH	0.001269284	1.82E-05	-6.5755644
NSUN7	0.046900235	0.005024737	0.808
PHOX2B	0.005533846	1.79E-04	-5.837177
NIPAL1	0.011777911	5.85E-04	2.1548767
TXK	0.006411265	2.26E-04	-3.7644987
LRRC66	0.04563188	0.004832855	-1.4909104
RASL11B	0.046972156	0.005052633	2.824369
KIT	0.008747614	3.74E-04	-2.0622902
SPINK2	0.038646877	0.003713556	-3.6247363
STAP1	0.003435984	8.33E-05	-3.8430226
UGT2B4	0.001753734	3.02E-05	3.9761295
SULT1E1	0.014329907	7.88E-04	2.3563242
MUC7	0.005306964	1.65E-04	3.1538725
IGJ	0.010959858	5.26E-04	-11.160107
AFP	0.001647821	2.68E-05	12.281181
AFM	8.35E-04	9.62E-06	3.722353
CXCL1	0.007032907	2.64E-04	-2.5955462
CXCL9	4.27E-04	3.12E-06	-6.4008923
CXCL10	0.009357349	4.14E-04	-2.66968
CXCL11	0.022698741	0.001631186	2.9257197
SCARB2	0.020772977	0.00143266	0.4993543
FAM47E	0.007433001	2.86E-04	1.8470347
CCNG2	0.015676452	9.33E-04	1.5018778
CXCL13	0.037727654	0.003569961	-5.2161074
BMP3	0.036705624	0.003423877	-1.023128
SCD5	0.042235084	0.004293752	2.009986
ABCG2	0.030372078	0.002549827	-4.1464815
PPM1K	0.045402534	0.004791015	-0.93977594
HERC5	0.005747653	1.89E-04	-3.7133284
MMRN1	0.004825926	1.39E-04	-6.2980757
METAP1	0.026058676	0.002011682	0.7832079
ADH6	0.018086495	0.001147757	-4.22492
ADH1B	0.006256223	2.18E-04	-2.4023004
CCDC109B	0.001006604	1.31E-05	-1.5526471
CFI	9.18E-04	1.15E-05	1.5919256
EGF	0.002886774	6.42E-05	4.0646462
ARSJ	0.026791848	0.002088953	2.8393612
UGT8	0.014695275	8.18E-04	0.6855955
PRSS12	0.04162987	0.004204244	1.6882205
TNIP3	0.006299276	2.20E-04	-3.8857985
ANXA5	0.028390432	0.00230772	1.0707846
CCNA2	0.04993671	0.005591678	0.92399025
GYPE	0.006132996	2.12E-04	-3.329742
SMAD1	0.04411918	0.004577388	0.6589222
TLR2	0.046006	0.004888644	0.65492725
FGB	0.001240995	1.75E-05	6.9769206
FGA	0.006025287	2.03E-04	6.0584545
LRAT	0.00585378	1.96E-04	-3.5420113
NPY2R	0.049812414	0.005559041	-2.5683339
RXFP1	0.017821109	0.001120837	-2.0279717
LOC100506013	0.03428351	0.00306697	4.250416
TRIM61	0.003604263	9.00E-05	2.6162336
TLL1	0.03320517	0.002929036	-2.5668774
ANXA10	0.014375292	7.93E-04	7.7145014
MFAP3L	0.01120929	5.44E-04	1.9869975
GALNTL6	0.04176013	0.004224133	-3.1582246
MAFIP	6.86E-04	6.74E-06	-5.292602
TERT	0.011031105	5.31E-04	2.0050402
IRX2	0.028354796	0.002299995	4.29838
C5orf38	0.022180848	0.001577325	2.7571223
ADCY2	0.006132996	2.13E-04	2.2336235
LOC100505738	0.015144152	8.67E-04	-4.334151
ANKRD33B	0.003696466	9.47E-05	-2.765851
CDH12	0.004396332	1.20E-04	6.4590845
CDH10	0.010917884	5.22E-04	-1.490675
AMACR	0.024081204	0.001793412	1.9540558
SPEF2	0.018086495	0.001148821	1.4874781
IL7R	0.009225884	4.03E-04	-7.821155
SKP2	0.003007645	6.88E-05	1.0446873
LIFR	0.03289814	0.002893921	-1.5824003
FYB	0.001616853	2.59E-05	-5.901759
C6	0.044473454	0.004642487	2.5989838
C5orf39	0.032439113	0.002836984	-3.4999878
C5orf34	0.013042536	6.91E-04	1.384963
GZMK	0.002778253	5.96E-05	-5.547668
GZMA	6.07E-04	5.51E-06	-8.501438
IL31RA	0.04554832	0.004816741	3.2875128
GAPT	9.18E-04	1.13E-05	-5.172305
CENPK	0.036705624	0.003433813	1.3992271
CD180	0.008935585	3.83E-04	-4.976469
CCDC125	4.29E-04	3.19E-06	-7.005499
OCLN	0.034686387	0.003128607	1.294961
LOC100272216	0.0090799	3.94E-04	-2.35271
ZNF366	0.010779452	5.11E-04	-4.0341215
HMGCR	0.026864856	0.002101366	0.51642805
S100Z	0.008422167	3.54E-04	-2.3980641
CRHBP	0.042203635	0.004283368	-2.7605724
BHMT2	9.66E-04	1.24E-05	-5.7582808
RASGRF2	0.002288396	4.48E-05	-1.7091718
ACOT12	0.024765175	0.001861219	-3.534094
GPR98	0.04563188	0.004833758	1.7567432
MCTP1	0.001616853	2.58E-05	-3.3471289
ST8SIA4	9.87E-04	1.28E-05	-2.7291408
SLCO4C1	0.042837035	0.004386559	2.1122246
CAMK4	0.035616834	0.00325903	-1.1171244
CCDC112	0.00776687	3.12E-04	-1.0292192
LOX	0.016819593	0.001028251	1.8948855
CEP120	0.030119788	0.002501389	-0.52720827
ALDH7A1	0.007960935	3.26E-04	0.26880267
FLJ33630	0.010073588	4.68E-04	-0.9077625
ACSL6	0.039293036	0.003827441	-2.8745103
FSTL4	0.023495609	0.001728462	1.6443517
C5orf20	0.016481534	0.001001035	-4.198106
SLC25A48	0.030825347	0.002614127	-1.6925136
CDC25C	0.028354796	0.002297006	0.8928985
MZB1	0.016604012	0.001013187	-8.009059
CXXC5	0.015106459	8.60E-04	1.5073347
IGIP	0.034686387	0.003123614	-1.6969929
HARS	0.017922107	0.001133293	-0.16293247
PCDHA4	0.015235106	8.77E-04	4.2052956
PCDHA6	0.02569652	0.001972055	3.8799648
PCDHA11	0.020612393	0.001408714	3.8534513
PCDHA12	3.22E-04	1.87E-06	4.671596
PCDHB2	0.028008817	0.002250928	3.403284
PCDHB5	0.03085371	0.002625916	2.6470776
PCDHB7	0.02904537	0.002375335	-2.9277563
PCDHGA2	0.022847783	0.001650975	-2.8021922
PCDHGA3	0.005631886	1.84E-04	-2.7392633
PCDHGB2	0.018583944	0.001194132	-3.2670593
PCDHGA6	0.003444444	8.38E-05	-3.9038863
PCDHGA7	0.006322757	2.21E-04	-3.0092103
PCDHGB4	0.010440719	4.91E-04	3.8307889
PCDHGA9	0.013605919	7.31E-04	-3.5573716
PCDHGB6	0.03327488	0.002940852	3.0566587
PCDHGA12	9.66E-04	1.24E-05	-4.1414766
NR3C1	0.041052647	0.004112955	-0.43809217
C5orf46	9.18E-04	1.15E-05	5.140544
FBXO38	0.018934548	0.001230633	0.36681658
HTR4	0.021189243	0.001470991	-2.380097
ADRB2	0.007702091	3.06E-04	-4.082158
IL17B	0.016604012	0.001011636	3.780449
HMGXB3	0.009310227	4.09E-04	0.714551
CD74	4.63E-04	3.78E-06	-5.229084
DCTN4	0.027145768	0.002135666	0.3494158
ZNF300P1	7.84E-04	8.64E-06	-4.629177
GM2A	0.024170067	0.001801743	-0.7629442
ITK	9.04E-04	1.10E-05	-7.6354084
C5orf52	0.001899681	3.47E-05	-3.1934028
GABRB2	0.04563188	0.004835188	2.2442336
DOCK2	0.009639913	4.33E-04	-5.7868834
LCP2	0.005533846	1.80E-04	-4.7691107
LOC257358	0.047373515	0.005127191	-1.7619841
GABRP	0.033941094	0.003015145	-3.5129414
STK10	0.01632313	9.83E-04	-1.1186533
DUSP1	0.00756249	2.92E-04	-2.9184399
NKX2-5	7.37E-04	7.74E-06	2.7510135
HMP19	0.019435536	0.00127533	-3.7607784
FAF2	0.014817521	8.34E-04	0.67681503
HK3	0.005533846	1.79E-04	-5.1021023
FGFR4	0.039294094	0.003835473	0.5786028
F12	0.016730892	0.001021879	-4.0153236
GRK6	0.015146836	8.68E-04	-0.45949653
DOK3	0.00282319	6.17E-05	-2.2629766
LOC202181	0.044848517	0.004698406	-1.4670051
RNF130	0.005004839	1.50E-04	-1.0255985
MAPK9	0.022405937	0.001601324	-0.28136736
FLT4	0.048102222	0.005267025	-2.3915353
IRF4	3.08E-04	1.65E-06	-6.8609304
SERPINB9	0.031607985	0.002731228	-2.2639775
NQO2	0.047805652	0.005198512	-1.133492
FAM50B	0.003097802	7.19E-05	-3.252847
PPP1R3G	0.011898288	5.95E-04	1.8129258
LY86	0.045302253	0.00477529	-4.26128
ERVFRD-1	0.005789512	1.91E-04	-3.6554508
PHACTR1	0.037318017	0.003503661	-2.2408893
GFOD1	0.01288112	6.79E-04	-2.3648748
NHLRC1	0.022405937	0.001604674	-1.3885616
RNF144B	0.03592722	0.003307825	-1.8162003
DCDC2	0.023654252	0.001745139	3.8891716
CMAHP	0.00585378	1.96E-04	-2.4018216
HFE	0.017604614	0.001101225	1.5847883
HIST1H2BD	0.016092226	9.63E-04	1.213253
BTN3A2	0.022220105	0.001585439	-1.4464064
BTN3A3	0.006494946	2.31E-04	-1.7144183
ZNF322	0.003477674	8.53E-05	1.1404213
LOC100507173	0.023703724	0.00175319	1.4262319
NKAPL	0.0090799	3.95E-04	-3.458266
HLA-E	0.003696089	9.34E-05	-1.8937414
CCHCR1	0.004919711	1.45E-04	-3.4396605
HLA-B	0.031311464	0.002685566	-2.4206543
CLIC1	0.037831247	0.003592148	2.4942803
VWA7	5.75E-04	5.12E-06	3.2391315
STK19	4.60E-04	3.58E-06	2.4205315
ATF6B	0.002015695	3.76E-05	-4.8735824
HLA-DMA	0.012376224	6.41E-04	-1.240675
HLA-DPA1	0.03038415	0.002557739	-1.8767551
PACSIN1	0.007672773	3.01E-04	-3.6769335
DEF6	0.003206971	7.60E-05	-1.3791733
FANCE	0.013512136	7.23E-04	0.741271
FKBP5	0.025839228	0.001991808	-4.0845776
CLPS	0.046399176	0.004948859	3.0640485
CPNE5	0.04162987	0.004206231	-1.3038001
FGD2	0.002870682	6.32E-05	-5.2424335
KCNK16	0.03465532	0.003106133	2.4627085
NCR2	0.012834259	6.74E-04	-2.436015
FOXP4	0.040909953	0.004083546	1.3578013
TFEB	0.028130498	0.002269369	1.0126848
TTBK1	0.024354275	0.001819278	-2.98484
RUNX2	0.00142993	2.12E-05	-2.3934827
RCAN2	0.006533774	2.34E-04	-1.1503105
PLA2G7	0.004669443	1.32E-04	-4.83574
GPR115	0.03928121	0.003821896	3.8913708
C6orf141	0.015511035	9.11E-04	2.4880834
GSTA4	0.036043607	0.003323951	0.8563442
MLIP	0.030429376	0.002565001	-1.8767551
BMP5	0.001108184	1.48E-05	-1.4474154
PRIM2	0.038646877	0.003713979	0.7038927
DDX43	0.037993442	0.00362099	-3.1766732
MB21D1	0.043654956	0.004508425	-1.6366539
BCKDHB	0.047373515	0.005128075	1.0426997
UBE3D	0.046900235	0.005027737	0.57056904
PGM3	0.014695275	8.21E-04	0.8829613
PRSS35	0.007086679	2.68E-04	5.5005183
MRAP2	0.007677137	3.01E-04	-2.4721088
NT5E	0.015751699	9.38E-04	-3.294218
RARS2	0.030119788	0.00250536	0.7103224
HACE1	0.039100453	0.003770884	-0.6292372
AKD1	0.012504392	6.52E-04	0.5505553
DDO	0.032162756	0.00279692	-5.1508703
FYN	0.004669443	1.32E-04	-0.98890686
FAM26F	0.029757189	0.002446771	-3.5836978
ROS1	0.03982396	0.003934073	3.2608
SERINC1	0.040608805	0.004038521	-0.42294028
TPD52L1	0.01615869	9.70E-04	0.7791957
THEMIS	0.003862111	1.00E-04	-6.1152797
SAMD3	0.041322432	0.004151712	-1.8036809
VNN1	0.04354234	0.004493386	-5.2279625
VNN2	0.009310742	4.10E-04	-3.1215456
SGK1	0.046900235	0.005023924	-3.2431583
MYB	0.038843844	0.003737317	-0.95588964
TNFAIP3	0.0090799	3.93E-04	-1.3095331
STX11	0.03338844	0.002954679	-1.0656666
PPP1R14C	0.02466609	0.001852372	2.034625
PLEKHG1	0.049273238	0.00545678	-0.9559307
VIP	4.28E-04	3.16E-06	-8.156986
FBXO5	0.042373467	0.004319847	0.9773607
IPCEF1	0.0053729	1.68E-04	-3.686074
TAGAP	3.17E-04	1.79E-06	-6.1908793
SOD2	0.001897749	3.45E-05	-0.63528156
CAHM	0.01839119	0.001177571	-2.4279196
RNASET2	0.023298135	0.001706	-1.4196577
C6orf123	0.002459999	5.01E-05	-3.7735944
DACT2	0.029213095	0.002397805	3.4508781
LINC00574	0.001829919	3.25E-05	1.4629691
PDGFA	0.00292276	6.52E-05	1.0959262
RADIL	0.036705624	0.0034311	-1.7772479
MIOS	0.036705624	0.003431894	-0.4134912
ANKMY2	0.019365089	0.001267409	0.4267674
ITGB8	0.005142389	1.57E-04	1.6867323
FAM126A	0.043390863	0.004475291	-0.6236724
GPNMB	0.007736142	3.08E-04	-2.6549568
RPS2P32	0.009684186	4.38E-04	-3.2587638
SKAP2	0.025594879	0.001958653	-0.91851044
CPVL	0.005533846	1.78E-04	-2.3429155
CHN2	0.012148446	6.21E-04	-2.4133344
NOD1	0.044744305	0.00467584	-0.8295259
AQP1	0.008179643	3.38E-04	-1.004979
